t,dist
0,2.8
0.1,2.8
0.2,2.7
0.3,2.7
0.4,2.4
0.5,2.4
0.6,2.15
0.7,2.15
0.8,1.95
0.9,1.95
1,1.75
1.1,1.75
1.2,1.9
1.3,1.9
1.4,2.1
1.5,2.1
1.6,2.25
1.7,2.25
1.8,2.05
1.9,2.05
2,1.9
2.1,1.9
2.2,1.85
2.3,1.85
2.4,1.95
2.5,1.95
2.6,2.1
2.7,2.1
2.8,2.3
2.9,2.3
3,2.1
3.1,2.1
3.2,1.9
3.3,1.9
3.4,1.8
3.5,1.8
3.6,1.85
3.7,1.85
3.8,2.05
3.9,2.05
4,2.25
4.1,2.25
4.2,2.15
4.3,2.15
4.4,2
4.5,2
4.6,1.85
4.7,1.85
4.8,1.85
4.9,1.85
5,2
5.1,2
5.2,2.2
5.3,2.2
5.4,2.2
5.5,2.2
5.6,2.05
5.7,2.05
5.8,1.9
5.9,1.9
6,1.85
6.1,1.85
6.2,1.95
6.3,1.95
6.4,2.1
6.5,2.1
6.6,2.2
6.7,2.2
6.8,2.05
6.9,2.05
7,1.9
7.1,1.9
7.2,1.85
7.3,1.85
7.4,1.9
7.5,1.9
7.6,2.05
7.7,2.05
7.8,2.15
7.9,2.15
8,2.05
8.1,2.05
8.2,1.95
8.3,1.95
8.4,1.9
8.5,1.9
8.6,1.95
8.7,1.95
8.8,2
8.9,2
9,2.1
9.1,2.1
9.2,2.1
9.3,2.1
9.4,2
9.5,2
9.6,1.85
9.7,1.85
9.8,1.85
9.9,1.85
10,1.95
10.1,1.95
10.2,2.1
10.3,2.1
10.4,2.2
10.5,2.2
10.6,2.05
10.7,2.05
10.8,1.95
10.9,1.95
11,1.9
11.1,1.9
11.2,1.95
11.3,1.95
11.4,2
11.5,2
11.6,2.05
11.7,2.05
11.8,2.1
11.9,2.1
12,2
12.1,2
12.2,1.9
12.3,1.9
12.4,1.9
12.5,1.9
12.6,1.95
12.7,1.95
12.8,2
12.9,2
13,2.1
13.1,2.1
13.2,2.1
13.3,2.1
13.4,1.95
13.5,1.95
13.6,1.85
13.7,1.85
13.8,1.9
13.9,1.9
14,2
14.1,2
14.2,2.1
14.3,2.1
14.4,2.1
14.5,2.1
14.6,2
14.7,2
14.8,1.85
14.9,1.85
15,1.85
15.1,1.85
15.2,1.95
15.3,1.95
15.4,2.1
15.5,2.1
15.6,2.2
15.7,2.2
15.8,2.05
15.9,2.05
16,1.95
16.1,1.95
16.2,1.85
16.3,1.85
16.4,1.9
16.5,1.9
16.6,2.05
16.7,2.05
16.8,2.1
