t,dist
0,3
0.1,3
0.2,3
0.3,3
0.4,2.95
0.5,2.95
0.6,2.9
0.7,2.9
0.8,2.9
0.9,2.9
1,2.85
1.1,2.85
1.2,3
1.3,3
1.4,4.00E+00
1.5,4.00E+00
1.6,4.00E+00
1.7,4.00E+00
1.8,4.00E+00
1.9,4.00E+00
2,4.00E+00
2.1,4.00E+00
2.2,4.00E+00
2.3,2.95
2.4,2.95
2.5,2.5
2.6,2.5
2.7,2.8
2.8,2.8
2.9,4.00E+00
3,4.00E+00
3.1,4.00E+00
3.2,4.00E+00
3.3,4.00E+00
3.4,4.00E+00
3.5,4.00E+00
3.6,2.8
3.7,2.8
3.8,2.55
3.9,2.55
4,2.7
4.1,2.7
4.2,2.85
4.3,2.85
4.4,4.00E+00
4.5,2.75
4.6,2.75
4.7,2.25
4.8,2.25
4.9,2.6
5,2.6
5.1,4.00E+00
5.2,2.9
5.3,2.9
5.4,2.55
5.5,2.55
5.6,2.75
5.7,2.75
5.8,2.35
5.9,1.9
6,1.9
6.1,2.2
6.2,2.2
6.3,2.55
6.4,2.55
6.5,2.5
6.6,2.2
6.7,2.2
6.8,1.95
6.9,1.95
7,2.1
7.1,2.1
7.2,2.25
7.3,2.25
7.4,2.5
7.5,2.5
7.6,2.8
7.7,2.8
7.8,1.2
7.9,1.1
8,1.1
8.1,1.1
8.2,1.1
8.3,1
8.4,1
8.5,0.95
8.6,0.95
8.7,0.85
8.8,0.85
8.9,0.7
9,0.7
9.1,0.65
9.2,0.65
9.3,0.65
9.4,0.65
9.5,0.65
9.6,0.65
9.7,0.6
9.8,0.6
9.9,0.6
10,0.6
10.1,0.6
10.2,0.6
10.3,0.65
10.4,0.65
10.5,0.7
10.6,0.7
10.7,0.75
10.8,0.75
10.9,0.8
11,0.8
11.1,0.85
11.2,0.85
11.3,0.95
11.4,0.95
11.5,1.1
11.6,1.1
11.7,1.2
11.8,1.2
11.9,1.15
12,1.15
12.1,1.05
12.2,1.05
12.3,1
12.4,1
12.5,0.95
12.6,0.95
12.7,0.95
12.8,0.95
12.9,1
13,1
13.1,1.1
13.2,1.1
13.3,1.1
13.4,1.1
13.5,1.1
13.6,1.1
13.7,1.05
13.8,1.05
13.9,1
14,1
14.1,1
14.2,1
14.3,1
14.4,1
14.5,1
14.6,1
14.7,1
14.8,1
14.9,1
15,1
15.1,1
15.2,1
15.3,1
15.4,1
15.5,1
15.6,1
15.7,1
15.8,1
15.9,1
16,1
16.1,1
16.2,1
16.3,1
16.4,1
16.5,1
16.6,1
16.7,1
16.8,1
16.9,1
17,1
17.1,1
17.2,1
17.3,1
17.4,1
17.5,1
17.6,1
17.7,1
17.8,1
17.9,1
18,1
18.1,1
18.2,1
18.3,1
18.4,1
18.5,1
18.6,1
18.7,1
18.8,1
18.9,1
19,1
19.1,1
19.2,1
19.3,1
19.4,1
19.5,1
19.6,1
19.7,1
19.8,1
19.9,1
20,1
20.1,1
20.2,1
20.3,1.05
20.4,1.05
20.5,1.05
20.6,1.05
20.7,1
20.8,1
20.9,0.95
21,0.95
21.1,0.95
21.2,0.95
21.3,0.95
21.4,0.95
21.5,1
21.6,1
21.7,1.05
21.8,1.05
21.9,1.05
22,1.05
22.1,1
22.2,1
22.3,1
22.4,1
22.5,1
22.6,1
22.7,1
22.8,1
22.9,1
23,1
23.1,0.95
23.2,0.95
23.3,0.95
23.4,0.95
23.5,1
23.6,1
23.7,1.05
23.8,1.05
23.9,1.05
24,1.05
24.1,1
24.2,1
24.3,1
24.4,1
24.5,1
24.6,1
24.7,1
24.8,1
24.9,0.95
25,0.95
25.1,0.95
25.2,0.95
25.3,1
25.4,1
25.5,1.05
25.6,1.05
25.7,1.05
25.8,1.05
25.9,1
26,1
26.1,1
26.2,1
26.3,1
26.4,1
26.5,1
26.6,1
26.7,0.95
26.8,0.95
26.9,0.95
27,0.95
27.1,1
27.2,1
27.3,1.05
27.4,1.05
27.5,1.05
27.6,1.05
27.7,1
27.8,1
27.9,1
28,1
28.1,1
28.2,1
28.3,0.95
28.4,0.95
28.5,0.95
28.6,0.95
28.7,1
28.8,1
28.9,1.05
29,1.05
29.1,1.05
29.2,1.05
29.3,1
29.4,1
29.5,1
29.6,1
29.7,1
29.8,1
29.9,1
30,1
30.1,0.95
30.2,0.95
30.3,0.95
30.4,0.95
30.5,1
30.6,1
30.7,1.05
30.8,1.05
30.9,1.05
31,1.05
31.1,1
31.2,1
31.3,1
31.4,1
31.5,1
31.6,1
31.7,1
31.8,1
31.9,0.95
32,0.95
32.1,0.95
32.2,0.95
32.3,1
32.4,1
32.5,1.05
32.6,1.05
32.7,1.05
32.8,1.05
32.9,1
33,1
33.1,1
