t,d
0,3
0.1,3
0.2,2.95
0.3,2.95
0.4,2.9
0.5,2.9
0.6,2.9
0.7,2.9
0.8,2.85
0.9,2.85
1,2.8
1.1,2.8
1.2,2.8
1.3,2.8
1.4,2.75
1.5,2.75
1.6,2.7
1.7,2.7
1.8,2.7
1.9,2.7
2,2.65
2.1,2.65
2.2,2.65
2.3,2.65
2.4,2.65
2.5,2.65
2.6,2.7
2.7,2.7
2.8,2.7
2.9,2.7
3,2.8
3.1,2.8
3.2,2.9
3.3,2.9
3.4,3
3.5,3
3.6,2.3
3.7,2.2
3.8,2.2
3.9,2.15
4,2.15
4.1,2.15
4.2,2.15
4.3,2.1
4.4,2.1
4.5,2.1
4.6,2.1
4.7,2.05
4.8,2.05
4.9,2.05
5,2.05
5.1,2.05
5.2,2.05
5.3,2.05
5.4,2.05
5.5,2.1
5.6,2.1
5.7,2.15
5.8,2.15
5.9,2.2
6,2.2
6.1,2.3
6.2,2.3
6.3,2.4
6.4,2.4
6.5,2.55
6.6,2.55
6.7,2.75
6.8,2.75
6.9,2.8
7,2.8
7.1,2.8
7.2,2.8
7.3,2.75
7.4,2.75
7.5,2.7
7.6,2.7
7.7,2.7
7.8,2.7
7.9,2.65
8,2.65
8.1,2.65
8.2,2.65
8.3,2.6
8.4,2.6
8.5,2.55
8.6,2.55
8.7,2.55
8.8,2.55
8.9,2.55
9,2.55
9.1,2.55
9.2,2.55
9.3,2.55
9.4,2.55
9.5,2.6
9.6,2.6
9.7,2.7
9.8,2.7
9.9,2.75
10,2.75
10.1,2.9
10.2,2.9
10.3,2.1
10.4,2.05
10.5,2.05
10.6,2
10.7,2
10.8,2
10.9,2
11,1.95
11.1,1.95
11.2,1.9
11.3,1.9
11.4,1.85
11.5,1.85
11.6,1.75
11.7,1.75
11.8,1.65
11.9,1.65
12,1.55
12.1,1.55
12.2,1.45
12.3,1.45
12.4,1.4
12.5,1.4
12.6,1.35
12.7,1.35
12.8,1.3
12.9,1.3
13,1.3
13.1,1.3
13.2,1.25
13.3,1.25
13.4,1.2
13.5,1.2
13.6,1.2
13.7,1.2
13.8,1.15
13.9,1.15
14,1.15
14.1,1.15
14.2,1.1
14.3,1.1
14.4,1.05
14.5,1.05
14.6,1
14.7,1
14.8,0.9
14.9,0.9
15,0.8
15.1,0.8
15.2,0.7
15.3,0.7
15.4,0.7
15.5,0.7
15.6,0.65
15.7,0.65
15.8,0.65
15.9,0.65
16,0.65
16.1,0.65
16.2,0.65
16.3,0.65
16.4,0.65
16.5,0.65
16.6,0.6
16.7,0.6
16.8,0.65
16.9,0.65
17,0.65
17.1,0.65
17.2,0.65
17.3,0.65
17.4,0.65
17.5,0.65
17.6,0.7
17.7,0.7
17.8,0.75
17.9,0.75
18,0.8
18.1,0.8
18.2,0.85
18.3,0.85
18.4,0.95
18.5,0.95
18.6,0.9
18.7,0.9
18.8,0.8
18.9,0.8
19,0.7
19.1,0.7
19.2,0.65
19.3,0.65
19.4,0.65
19.5,0.65
19.6,0.6
19.7,0.6
19.8,0.6
19.9,0.6
20,0.6
20.1,0.6
20.2,0.55
20.3,0.55
20.4,0.55
20.5,0.55
20.6,0.55
20.7,0.55
20.8,0.55
20.9,0.55
21,0.55
21.1,0.55
21.2,0.55
21.3,0.55
21.4,0.55
21.5,0.55
21.6,0.6
21.7,0.6
21.8,0.6
21.9,0.6
22,0.65
22.1,0.65
22.2,0.7
22.3,0.7
22.4,0.8
22.5,0.8
22.6,0.85
22.7,0.85
22.8,0.95
22.9,0.95
23,1.1
23.1,1.1
23.2,1.2
23.3,1.2
23.4,1.2
23.5,1.2
23.6,1.1
23.7,1.1
23.8,1
23.9,1
24,0.95
24.1,0.95
24.2,0.95
24.3,0.95
24.4,1.05
24.5,1.05
24.6,1.1
24.7,1.1
24.8,1.1
24.9,1.1
25,1.05
25.1,1.05
25.2,1.05
25.3,1.05
25.4,1
25.5,1
25.6,0.95
25.7,0.95
25.8,0.95
25.9,0.95
26,1
26.1,1
26.2,1.05
26.3,1.05
26.4,1.05
26.5,1.05
26.6,1.05
26.7,1.05
26.8,1
26.9,1
27,0.95
27.1,0.95
27.2,0.95
27.3,0.95
27.4,1
27.5,1
27.6,1.05
27.7,1.05
27.8,1.05
27.9,1.05
28,1
28.1,1
28.2,0.95
28.3,0.95
28.4,0.95
28.5,0.95
28.6,1
28.7,1
28.8,1.05
28.9,1.05
29,1.05
29.1,1.05
29.2,1
29.3,1
29.4,0.95
29.5,0.95
29.6,0.95
29.7,0.95
29.8,1
29.9,1
30,1.05
30.1,1.05
30.2,1.05
30.3,1.05
30.4,1
30.5,1
30.6,1
30.7,1
30.8,0.95
30.9,0.95
